iter	Logloss
0	0.3347897166
1	0.161634021
2	0.08072650133
3	0.04373275021
4	0.02553242339
5	0.01600882264
6	0.01084493462
7	0.007988068795
8	0.00623747677
9	0.005133056946
10	0.004408687792
11	0.003893070924
12	0.00350520566
13	0.003228347502
14	0.003002960702
15	0.002876293724
16	0.00278224636
17	0.0027008361
18	0.002631156075
19	0.002575860442
20	0.0025397811
21	0.002481688101
22	0.002449140228
23	0.002413576873
24	0.002376711037
25	0.002354555738
26	0.002313158271
27	0.002296105172
28	0.002261276429
29	0.002245078506
30	0.002229130045
31	0.00218974761
32	0.002171543355
33	0.002126277743
34	0.002105059639
35	0.002093313572
36	0.002083953688
37	0.002067711323
38	0.002038972459
39	0.002010385117
40	0.001964086467
41	0.0019487461
42	0.001931265999
43	0.001919458418
44	0.001902773268
45	0.001894028374
46	0.001874319497
47	0.00186302306
48	0.001850948316
49	0.00183731118
50	0.00182706095
51	0.001807229991
52	0.001798033083
53	0.001786021244
54	0.001773877363
55	0.001758187632
56	0.001742881373
57	0.001732631101
58	0.001709335305
59	0.001698147393
60	0.001676369498
61	0.001654831387
62	0.001641761035
63	0.001630902976
64	0.001604736086
65	0.001587488583
66	0.001569313977
67	0.001558915809
68	0.00154608268
69	0.001533804309
70	0.001522712225
71	0.001503083663
72	0.001482557672
73	0.001467965846
74	0.001445616247
75	0.001436744993
76	0.001422660979
77	0.00141190217
78	0.001401662979
79	0.001389703823
80	0.001373768667
81	0.001364292428
82	0.001352103824
83	0.001342667604
84	0.001328197367
85	0.001320047673
86	0.001306663403
87	0.00129976454
88	0.001286843416
89	0.001276764569
90	0.001268039053
91	0.001251531187
92	0.001244799478
93	0.001237574614
94	0.001222384716
95	0.001213313146
96	0.001199963451
97	0.001187371757
98	0.001181528429
99	0.001176463831
100	0.001163903745
101	0.001158740572
102	0.001154572711
103	0.001142508647
104	0.001138866733
105	0.001129224581
106	0.001123497484
107	0.001117269364
108	0.001107933758
109	0.001100659456
110	0.001093405523
111	0.001087007801
112	0.001073520175
113	0.001065394411
114	0.001055893898
115	0.001050529689
116	0.001044067184
117	0.001027770157
118	0.001012028318
119	0.00100316721
120	0.0009971333224
121	0.0009900476162
122	0.0009829116107
123	0.0009762382393
124	0.000969431872
125	0.0009599986794
126	0.0009543801025
127	0.0009508549086
128	0.0009421597826
129	0.0009350120158
130	0.0009255244543
131	0.0009222214867
132	0.0009111023944
133	0.0009068079085
134	0.0008963988539
135	0.0008907422008
136	0.0008827621269
137	0.0008763579419
138	0.0008726059057
139	0.0008672455753
140	0.0008573464286
141	0.0008521768551
142	0.0008464013058
143	0.0008386856635
144	0.00082879732
145	0.0008253209445
146	0.0008180176602
147	0.0008161076594
148	0.0008061973002
149	0.0007973067852
150	0.0007952295586
151	0.0007906345706
152	0.0007832374258
153	0.0007747383057
154	0.0007657798587
155	0.0007620927707
156	0.0007588903117
157	0.000754256948
158	0.0007470058444
159	0.0007416884857
160	0.0007357158671
161	0.0007317868185
